dataset,kernel,n_runs,successful_runs,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,accuracy_min,accuracy_max,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,time_mean,time_std,normality_pvalue,best_params
german,LINEAR,35,35,76.66285714285713,0.43166502508027044,76.51776112460824,76.80795316110603,75.8,77.60000000000001,75.61777749584499,0.4613419338794471,75.4627061470724,75.77284884461758,3.372800845706037,0.20242774506340513,0.42755600836824065,{'C': 49.47928650504272}
german,POLY,35,35,76.68571428571428,0.40152769493014895,76.55074835990135,76.82068021152722,75.9,77.4,75.61346616180137,0.43425007178463104,75.46750122908871,75.75943109451403,0.39780816859565676,0.0042531921790514805,0.4203175720198976,"{'C': 32.39993044971009, 'degree': 1, 'coef0': 2.948656714725151}"
german,RBF,35,35,76.62285714285714,0.4263370325295736,76.4795520283402,76.76616225737409,75.3,77.60000000000001,75.38867554844803,0.47218136225327173,75.22996073123173,75.54739036566434,0.5124845199952168,0.004032054114596378,0.2195637346745834,"{'C': 9.13805464814147, 'gamma': 0.021699329627676893}"
german,HERMITE,35,35,70.20857142857142,0.2862281094027021,70.11236127353854,70.3047815836043,69.39999999999999,70.7,60.02723631310156,0.425252054523038,59.88429589338148,60.170176732821645,6.161811460009111,0.03936942112406613,0.03110782917873837,"{'C': 48.7903459598075, 'degree': 2}"
german,GEGEN,35,35,76.04857142857142,0.5067382691976081,75.87824096192952,76.21890189521332,75.0,76.9,74.38286474533476,0.5267055461515231,74.20582265691912,74.55990683375039,9.350014854269102,0.03248836800755486,0.28679810579315185,"{'C': 10.328092337528568, 'degree': 1, 'alpha': 0.04833318476200517}"
german,AL-SALAM,35,35,70.69428571428571,0.45036039989759125,70.54290560006412,70.84566582850731,69.4,71.49999999999999,65.58085858495906,0.5924933089597225,65.38170318673521,65.78001398318291,7.285530985732164,0.02073070202868302,0.5182713443932347,"{'C': 44.77799197022102, 'degree': 5, 'a': -1, 'q': 0.13269541097938153}"
heart,LINEAR,35,35,83.3862433862434,0.5248506568312055,83.20982478372315,83.56266198876364,81.85185185185185,84.44444444444444,83.23468266746715,0.5399116919494016,83.05320158339435,83.41616375153995,0.2928385771212301,0.031175596754887024,0.04839381399924985,{'C': 44.23037460820034}
heart,POLY,35,35,83.4920634920635,0.5406154401881369,83.31034585635607,83.67378112777092,82.22222222222221,84.81481481481481,83.34444473980426,0.5608985460948138,83.1559093224055,83.53298015720301,0.12337980001632656,0.0016599388831259195,0.06865637987561393,"{'C': 33.316650840173665, 'degree': 1, 'coef0': 2.8211050488443092}"
heart,RBF,35,35,81.36507936507937,1.3361857454107582,80.91594584710677,81.81421288305197,78.14814814814814,84.44444444444444,81.20162669728073,1.345763892754878,80.74927366658162,81.65397972797984,0.13344066571444274,0.0012757702086316374,0.6343810873934241,"{'C': 55.3226520400464, 'gamma': 0.018972951198726273}"
heart,HERMITE,35,35,78.28571428571428,0.9782495025540355,77.95689425298599,78.61453431844257,75.55555555555557,80.0,78.18180712302319,0.9968375459675279,77.84673907173969,78.51687517430669,0.27241050285021107,0.0027276084187243892,0.010172639434896201,"{'C': 63.763312962995464, 'degree': 6}"
heart,GEGEN,35,35,83.01587301587301,0.581529382604619,82.82040293373008,83.21134309801594,81.85185185185185,84.07407407407408,82.74415475936871,0.618991904269629,82.53609236047242,82.952217158265,0.3087519285734743,0.009229182085731315,0.05076979433533731,"{'C': 12.768356347494443, 'degree': 4, 'alpha': 0.039422534438173305}"
heart,AL-SALAM,35,35,74.83597883597884,1.525645572290791,74.32316198741138,75.34879568454629,71.4814814814815,78.8888888888889,74.41567204179036,1.577687399098292,73.88536231931967,74.94598176426105,2.340540325701503,0.006029799105129455,0.830106226885507,"{'C': 41.35865360241686, 'degree': 6, 'a': -1, 'q': 0.5883743850112647}"
fourclass,LINEAR,35,35,76.78493145453852,0.1774469716961715,76.72528601757348,76.84457689150356,76.44079123229083,77.13980219192729,75.74090599427784,0.19281948498894727,75.67609337827427,75.8057186102814,0.2944727171412004,0.00465533962978398,0.22585637850125556,{'C': 31.773630148852703}
fourclass,POLY,35,35,99.73150800015274,0.060722241102195686,99.71109736947578,99.7519186308297,99.53622026196204,99.76877840149695,99.73253470562317,0.06037050862124374,99.71224230315444,99.75282710809189,4.616839177121541,0.5420572232335478,2.3433930609220166e-08,"{'C': 44.79814435682701, 'degree': 6, 'coef0': 3.8443234077775363}"
fourclass,RBF,35,35,99.92053308893725,0.05380170499736435,99.90244866532969,99.93861751254481,99.88372093023254,100.0,99.92080912522694,0.05361479742521022,99.90278752705791,99.93883072339597,0.356964222847351,0.0040269502703037,1.0984329865610587e-08,"{'C': 39.646180637801784, 'gamma': 1.757316551623414}"
fourclass,HERMITE,35,35,94.08966280979114,0.35900138576304236,93.96899129694303,94.21033432263924,93.15156375300721,94.78080727078321,94.09224166648828,0.3673443065680311,93.96876583890759,94.21571749406897,0.7476262057133551,0.01558145742573413,0.6209711093546475,"{'C': 63.20153190855601, 'degree': 6}"
fourclass,GEGEN,35,35,99.98006644518271,0.043823607834799855,99.9653359698542,99.99479692051123,99.88372093023254,100.0,99.98013434875972,0.043674323318337684,99.9654540525925,99.99481464492693,0.807704382875402,0.009622734881651343,3.089621717906702e-10,"{'C': 37.52979074048685, 'degree': 6, 'alpha': 0.40412340604772884}"
fourclass,AL-SALAM,35,35,99.60228357582005,0.11188796879711407,99.56467455535471,99.63989259628539,99.41860465116278,99.88505747126437,99.6040416881501,0.11128070601777713,99.56663678756057,99.64144658873964,0.9536227200313339,0.007176176504496569,0.0011803073376513698,"{'C': 37.47354711258659, 'degree': 6, 'a': -1, 'q': 0.36452992003527995}"
