dataset,kernel,run,accuracy,f1_score,train_time,random_seed
haberman,HERMITE,25,73.18279569892474,67.29449992190256,0.158652100013569,67
haberman,HERMITE,26,72.5483870967742,66.47726009472193,0.15589089994318783,68
haberman,HERMITE,27,74.1720430107527,68.05162416451243,0.1578383999876678,69
haberman,HERMITE,28,74.19354838709677,68.29121260110914,0.15457709995098412,70
haberman,HERMITE,29,74.1720430107527,68.41202533779384,0.1565785000566393,71
haberman,HERMITE,30,73.21505376344086,67.44573925196316,0.15780110005289316,72
haberman,HERMITE,31,71.60215053763442,65.2501066694451,0.1591539999935776,73
haberman,HERMITE,32,73.17204301075269,67.66373376898677,0.15660149999894202,74
haberman,HERMITE,33,73.51612903225806,67.6345958321918,0.15850670007057488,75
haberman,HERMITE,34,71.89247311827958,65.4308980026083,0.15437910007312894,76
haberman,GEGEN,0,74.18279569892474,69.36889079613078,0.16961799981072545,42
haberman,GEGEN,1,73.89247311827958,68.42903826583772,0.16517180018126965,43
haberman,GEGEN,2,74.86021505376344,70.55748370541541,0.1664817000273615,44
haberman,GEGEN,3,74.78494623655914,70.84744292463458,0.1672209999524057,45
haberman,GEGEN,4,74.13978494623656,69.1336952533242,0.16954370005987585,46
haberman,GEGEN,5,74.82795698924731,70.01507310722401,0.16693899990059435,47
haberman,GEGEN,6,74.81720430107526,70.54117399452451,0.1687849999871105,48
haberman,GEGEN,7,74.50537634408603,69.88176110554488,0.1657946000341326,49
haberman,GEGEN,8,74.83870967741936,70.06996316544691,0.16679209982976317,50
haberman,GEGEN,9,74.83870967741936,70.55338035778263,0.1645227000117302,51
haberman,GEGEN,10,75.17204301075269,70.7975759951073,0.1684049000032246,52
haberman,GEGEN,11,75.43010752688171,71.24053843696012,0.16428539995104074,53
haberman,GEGEN,12,74.16129032258064,69.41290769321039,0.16817479999735951,54
haberman,GEGEN,13,74.79569892473118,70.3823333226439,0.16553550004027784,55
haberman,GEGEN,14,75.1505376344086,70.84576014373255,0.168034499976784,56
