dataset,kernel,trial,optimization_time,training_time,best_accuracy,best_f1_score,support_vector_prop,best_params,random_seed,n_optimization_trials,cv_folds
blood,poly,1,1.9080674997530878,0.022672199923545123,0.7740900900900902,0.6975082651949343,0.479795944462326,"{'C': 24.286655820793264, 'degree': 3, 'gamma': 3.818663623479838}",43,8,10
blood,poly,2,1.9480718998238444,0.03057143990881741,0.7794054054054055,0.7217323912370601,0.5080231127728714,"{'C': 23.936844254628866, 'degree': 6, 'gamma': 3.5291436202329205}",44,8,10
blood,poly,3,2.0101788002066314,0.02976860012859106,0.7794774774774774,0.7224156415856166,0.4933137420029013,"{'C': 15.685164675927945, 'degree': 6, 'gamma': 2.6058768340207172}",45,8,10
blood,poly,4,1.7813791004009545,0.024593820003792642,0.7714054054054055,0.7021477568039017,0.4814335033796147,"{'C': 10.659318426847376, 'degree': 5, 'gamma': 3.4704024356367422}",46,8,10
blood,poly,5,1.6539763999171555,0.022220390010625125,0.7714414414414413,0.7029858880302572,0.4809835494552493,"{'C': 2.8380983088693443, 'degree': 6, 'gamma': 2.91917705535597}",47,8,10
blood,rbf,0,1.1659448998980224,0.012339690001681447,0.7914414414414415,0.7608875285766136,0.48633405496448434,"{'C': 15.028274178568475, 'gamma': 2.8368516771561185}",42,8,10
blood,rbf,1,1.1538546001538634,0.01018635998480022,0.7874054054054055,0.7586576309271558,0.48648264337458835,"{'C': 8.179149256222683, 'gamma': 3.438750940498319}",43,8,10
blood,rbf,2,1.2152170003391802,0.011441309936344624,0.7834234234234234,0.7510177824208543,0.48722404222203614,"{'C': 12.74805033733057, 'gamma': 2.8451209109125584}",44,8,10
blood,rbf,3,1.2950812000781298,0.015624200040474535,0.7875135135135135,0.7564053175806122,0.4857374967482507,"{'C': 21.404695032842014, 'gamma': 2.6058768340207172}",45,8,10
blood,rbf,4,1.2041242001578212,0.010219510039314627,0.7874054054054054,0.7528578214500412,0.48915679384129696,"{'C': 6.226828244802206, 'gamma': 3.0360835232141175}",46,8,10
blood,rbf,5,1.2080848002806306,0.012897680001333355,0.7994414414414415,0.77353170019355,0.4860359963139492,"{'C': 17.690420851338768, 'gamma': 3.201549584739277}",47,8,10
blood,custom_hermite,0,2.116846799850464,0.022768309945240615,0.7686846846846846,0.6870247131714089,0.48291850565032785,"{'C': 9.364128431065215, 'degree': 6}",42,8,10
blood,custom_hermite,1,2.0850049001164734,0.02090761996805668,0.77009009009009,0.6874343686963182,0.4805402092583365,"{'C': 16.652589237237546, 'degree': 4}",43,8,10
blood,custom_hermite,2,2.152813400141895,0.019637940032407642,0.7687567567567568,0.6872321990080874,0.4838082724502978,"{'C': 18.616267401506267, 'degree': 3}",44,8,10
blood,custom_hermite,3,2.149823300074786,0.02218409008346498,0.7701261261261261,0.68884982195902,0.480094003112861,"{'C': 24.725298825376527, 'degree': 4}",45,8,10
blood,custom_hermite,4,2.2344081001356244,0.02015491984784603,0.770108108108108,0.6881387847280752,0.4824720790472705,"{'C': 22.818144526090006, 'degree': 3}",46,8,10
blood,custom_hermite,5,2.169245299883187,0.022749649919569494,0.7700900900900901,0.6895781741181326,0.483064228111869,"{'C': 17.690420851338768, 'degree': 5}",47,8,10
blood,custom_gegen,0,5.6474949000403285,0.0708451499696821,0.770054054054054,0.6944208166095305,0.4835115365452533,"{'C': 4.585929341825992, 'degree': 2, 'alpha': 0.5542652989481534}",42,8,10
blood,custom_gegen,1,5.2096315999515355,0.032085160119459034,0.7767567567567568,0.7275384308396246,0.4870767765574226,"{'C': 16.652589237237546, 'degree': 4, 'alpha': -0.4322624893955228}",43,8,10
blood,custom_gegen,2,6.231616199947894,0.07241302002221346,0.7887567567567568,0.7532675292518445,0.4710336374178244,"{'C': 9.845094997655195, 'degree': 3, 'alpha': 0.5247057950833167}",44,8,10
blood,custom_gegen,3,4.714093599934131,0.03149122004397213,0.7874954954954955,0.7508305004056379,0.48172825516642337,"{'C': 1.933161862413238, 'degree': 3, 'alpha': 0.45088785981341584}",45,8,10
blood,custom_gegen,4,4.5835112002678216,0.02676599007099867,0.7674414414414416,0.6733649667041652,0.4786087803845661,"{'C': 7.4983963426883635, 'degree': 1, 'alpha': 0.25070004483418906}",46,8,10
blood,custom_gegen,5,5.523174399975687,0.026386780105531214,0.77009009009009,0.7019848534256301,0.48885939656350724,"{'C': 3.1787371619055294, 'degree': 5, 'alpha': -0.47957646815918376}",47,8,10
blood,custom_alsalam,0,1.6166998003609478,0.023041729955002664,0.7847567567567567,0.737819962210378,0.4775693228865833,"{'C': 20.811233577369745, 'degree': 2, 'a': -1, 'q': 0.19}",42,8,10
blood,custom_alsalam,1,1.5937465000897646,0.026319439988583326,0.7941081081081081,0.7626610752844314,0.49628727386563554,"{'C': 16.652589237237546, 'degree': 4, 'a': -1, 'q': 0.03}",43,8,10
blood,custom_alsalam,2,1.5022986000403762,0.01981453993357718,0.7860720720720721,0.7527062878813174,0.48158054858664645,"{'C': 17.75398968518351, 'degree': 6, 'a': -1, 'q': 0.46}",44,8,10
blood,custom_alsalam,3,1.6489376001991332,0.02488265004940331,0.7915135135135135,0.7595419246091468,0.4936102574503639,"{'C': 24.725298825376527, 'degree': 4, 'a': -1, 'q': 0.28}",45,8,10
blood,custom_alsalam,4,1.7253560996614397,0.02439369005151093,0.7873873873873873,0.7536885356750227,0.4899012790948894,"{'C': 19.59602493779296, 'degree': 4, 'a': -1, 'q': 0.25}",46,8,10
blood,custom_alsalam,5,1.5090005001984537,0.020007669879123568,0.7887387387387387,0.7538887834419001,0.48128337176643843,"{'C': 3.1787371619055294, 'degree': 5, 'a': -1, 'q': 0.01}",47,8,10
statlog,linear,0,1.5547697003930807,0.016404869966208935,0.8071848739495799,0.8031268390331695,0.49020471678539324,{'C': 14.966863446441717},42,8,10
statlog,linear,1,1.5558847999200225,0.019379640044644476,0.80593837535014,0.8027816124139324,0.47613406874610964,{'C': 21.478578136223994},43,8,10
statlog,linear,2,1.5948040997609496,0.017962750000879168,0.8142436974789916,0.8103721179160261,0.48231378380247597,{'C': 18.616267401506267},44,8,10
statlog,linear,3,1.4274670002050698,0.012835099874064327,0.8095238095238095,0.8051454707612621,0.5303089771076838,{'C': 7.036901101574616},45,8,10
statlog,linear,4,1.6524863000959158,0.0173632200807333,0.809579831932773,0.8058572920306013,0.4891513935956843,{'C': 15.8712078176122},46,8,10
statlog,linear,5,1.746477299835533,0.01931933001615107,0.8047899159663865,0.8012852587924211,0.480210768379556,{'C': 19.99031543689969},47,8,10
statlog,poly,0,1.5104785999283195,0.025918730022385716,0.8342857142857143,0.8330387156806985,0.4811300919842313,"{'C': 9.364128431065215, 'degree': 6, 'gamma': 2.9321633619048173}",42,8,10
statlog,poly,1,2.1273362999781966,0.024260810064151882,0.8520728291316526,0.849969787482844,0.494411612144685,"{'C': 16.652589237237546, 'degree': 4, 'gamma': 0.13122695669081097}",43,8,10
statlog,poly,2,2.1015468002296984,0.03028311994858086,0.859187675070028,0.8576210874629376,0.43392610139013765,"{'C': 23.936844254628866, 'degree': 6, 'gamma': 3.5291436202329205}",44,8,10
statlog,poly,3,2.0277329003438354,0.027482929965481163,0.8532913165266105,0.8511940366682786,0.4510192613597068,"{'C': 15.685164675927945, 'degree': 6, 'gamma': 2.6058768340207172}",45,8,10
statlog,poly,4,1.9361468995921314,0.024226949922740458,0.8461624649859945,0.8422060248586487,0.4966453420015215,"{'C': 10.659318426847376, 'degree': 5, 'gamma': 3.4704024356367422}",46,8,10
statlog,poly,5,1.7526240996085107,0.023744900012388825,0.8484593837535014,0.8454090267559973,0.5063792447610485,"{'C': 8.787343679511642, 'degree': 5, 'gamma': 3.201549584739277}",47,8,10
statlog,rbf,0,1.6945056999102235,0.013926650024950504,0.8011484593837535,0.7996671899205559,0.6331371464139982,"{'C': 4.546442355210308, 'gamma': 0.7463773439472754}",42,8,10
statlog,rbf,1,1.6736332001164556,0.012568440055474639,0.8201540616246497,0.8152592030124488,0.5848777577979114,"{'C': 6.361273725371123, 'gamma': 0.24227591946943294}",43,8,10
statlog,rbf,2,1.7881908998824656,0.016042410070076583,0.8343557422969188,0.8319214043026817,0.5396458952901307,"{'C': 20.87121887449257, 'gamma': 0.43317197834869975}",44,8,10
statlog,rbf,3,1.7151995999738574,0.013455739989876748,0.8366806722689075,0.8331083590816359,0.5768590497268138,"{'C': 7.036901101574616, 'gamma': 0.3235756148467037}",45,8,10
statlog,rbf,4,1.7696118000894785,0.015145269921049476,0.8413865546218486,0.8386795374309054,0.5471367314475413,"{'C': 12.698850583254085, 'gamma': 0.3539301323851334}",46,8,10
statlog,rbf,5,1.8057810999453068,0.019005680037662388,0.8094257703081233,0.8059840277447166,0.6420772529220555,"{'C': 17.651069250813958, 'gamma': 0.9983686305083388}",47,8,10
statlog,custom_hermite,0,10.171919000335038,0.11093373992480338,0.7455882352941178,0.7352049411650257,0.6824481291928902,"{'C': 9.364128431065215, 'degree': 6}",42,8,10
statlog,custom_hermite,1,10.284275199752301,0.10627907002344728,0.7408263305322129,0.7294895019382011,0.6941501832768517,"{'C': 8.179149256222683, 'degree': 6}",43,8,10
statlog,custom_hermite,2,10.243733699899167,0.1154919599648565,0.7396218487394959,0.724039612895772,0.6962535445051525,"{'C': 12.74805033733057, 'degree': 5}",44,8,10
statlog,custom_hermite,3,10.04424799978733,0.10119295995682479,0.7408263305322129,0.7282311044857668,0.691519295940245,"{'C': 24.725298825376527, 'degree': 4}",45,8,10
statlog,custom_hermite,4,10.245861100032926,0.10410646996460855,0.7324649859943978,0.7186436413629951,0.6958584618576665,"{'C': 7.827610313856364, 'degree': 6}",46,8,10
statlog,custom_hermite,5,10.076462199911475,0.1015323898755014,0.7407703081232493,0.7261315091491269,0.6679808423819076,"{'C': 17.690420851338768, 'degree': 5}",47,8,10
statlog,custom_gegen,0,32.318411400076,0.17194957993924617,0.8273249299719888,0.8256703582720348,0.5309666989418356,"{'C': 3.4882070224403936, 'degree': 2, 'alpha': 0.23906006815444647}",42,8,10
statlog,custom_gegen,1,33.240370500367135,0.1847334500402212,0.8366526610644257,0.8347054634575507,0.5546377688636834,"{'C': 2.877249105178084, 'degree': 4, 'alpha': -0.2245519812698833}",43,8,10
statlog,custom_gegen,2,37.418633099645376,0.20574890999123455,0.7810644257703081,0.7782500766988997,0.8260356871152915,"{'C': 17.75398968518351, 'degree': 6, 'alpha': 0.41867600678848516}",44,8,10
statlog,custom_gegen,3,30.894719399977475,0.19015961000695825,0.8212324929971988,0.8198158378754824,0.5501635659450861,"{'C': 2.812409934004069, 'degree': 2, 'alpha': 0.4623190862767723}",45,8,10
statlog,custom_gegen,4,29.262957999948412,0.1770643500611186,0.8485714285714285,0.8469938273920523,0.4837613251262189,"{'C': 11.375642969250542, 'degree': 4, 'alpha': -0.3210331699585467}",46,8,10
statlog,custom_gegen,5,34.67467080010101,0.17795412014238537,0.8461344537815126,0.8442563952331416,0.4548352237360813,"{'C': 6.166987894984273, 'degree': 2, 'alpha': -0.4422174052507317}",47,8,10
statlog,custom_alsalam,0,5.644378600176424,0.061812470015138385,0.8378151260504202,0.8373800823447606,0.5200553288609171,"{'C': 20.811233577369745, 'degree': 2, 'a': -1, 'q': 0.19}",42,8,10
statlog,custom_alsalam,1,5.397305400110781,0.058052139915525915,0.815266106442577,0.8141909619517946,0.58093574936026,"{'C': 5.526503868113398, 'degree': 3, 'a': -1, 'q': 0.32}",43,8,10
statlog,custom_alsalam,2,5.515605699736625,0.06720421998761594,0.8142156862745098,0.8118884984231837,0.4489122691749084,"{'C': 10.691860375019163, 'degree': 1, 'a': -1, 'q': 0.22}",44,8,10
statlog,custom_alsalam,3,5.59769759979099,0.06294747008942067,0.8390896358543417,0.8365584109273373,0.4785017981879798,"{'C': 1.2140015006602403, 'degree': 1, 'a': -1, 'q': 0.12}",45,8,10
