dataset,kernel,cka_median,cka_iqr,cka_p_median,cka_p_iqr,hsic_median,hsic_iqr,hsic_p_median,hsic_p_iqr,effective_rank_median,effective_rank_iqr,top1_ratio_median,top1_ratio_iqr,cum_top3_median,cum_top3_iqr,cum_top5_median,cum_top5_iqr,kpca_top1_median,kpca_top1_iqr,kpca_cum_top5_median,kpca_cum_top5_iqr,knn_overlap_5_median,knn_overlap_5_iqr,knn_overlap_10_median,knn_overlap_10_iqr,fisher_ratio_rkhs_median,fisher_ratio_rkhs_iqr,svm_mean_margin_median,svm_mean_margin_iqr,svm_std_margin_median,svm_std_margin_iqr,svm_sv_prop_median,svm_sv_prop_iqr,svm_n_sv_median,svm_n_sv_iqr,dof_trace_median,dof_trace_iqr
breast,custom_hermite,0.43957634172473353,0.09450709139898184,0.009900990099009901,0.0,0.002654705476563086,0.0006276520938783684,0.009900990099009901,0.0,5.282828511977964,1.7437622500803283,0.4007769320951489,0.09629861020875913,0.586708975677644,0.07500020401746954,0.6965845722779512,0.071525088207121,0.4007769320951489,0.09629861020875913,0.6965845722779512,0.071525088207121,0.49311364922570355,0.02439419663528314,0.5187477491382415,0.014616238788564773,2.1979629511388534,0.3098599887420921,1.3304748685611871,0.2649992670967727,1.4924686481046328,0.3481256298793547,0.24450360995352505,0.13892318773473278,83.5,47.25,106.99281495819474,35.43704005743383
breast,linear,0.8167000440649493,0.020117943762723467,0.009900990099009901,0.0,0.9191177829253836,0.004887373216617585,0.009900990099009901,0.0,2.0238118272131427,0.05202838203673954,0.6919804598496738,0.00981215246490763,0.8262493958100356,0.00832133590908557,0.9099838638742073,0.0024368373098765383,0.6919804598496738,0.00981215246490763,0.9099838638742073,0.0024368373098765383,0.8032163742690058,0.031922793298005514,0.8427530826087702,0.024711246591552105,2.8656719349886117,0.1266926814637257,1.8891236180655488,0.658139725596047,2.0381657978833836,0.7065438480985793,0.0995566874174684,0.053504055838521025,34.0,18.25,8.99977666701092,8.530944931806062e-06
breast,poly,0.8373538543117542,0.042918152287414135,0.009900990099009901,0.0,1.6943728568625058,2.229860634250584,0.009900990099009901,0.0,2.664078234018464,0.1331401209551175,0.6045841739604598,0.014695313865612292,0.7160253302943624,0.024032629381399495,0.7698726231474515,0.03818716562863411,0.6045841739604598,0.014695313865612292,0.7698726231474515,0.03818716562863411,0.6948911869115604,0.0733918128654969,0.7219645521428204,0.048617327776920405,2.1710841158840872,0.4066271786025806,1.4416987631618121,0.6509295454593864,1.3532329368207998,0.6750233431044657,0.1537317144278095,0.1121122086741781,52.5,38.25,183.90874985420328,56.242966081972355
breast,rbf,0.8394958433912318,0.02148413802753657,0.009900990099009901,0.0,0.05820491612550159,0.016055918596638456,0.009900990099009901,0.0,2.7166567026374073,0.43270540740397356,0.5934391221275187,0.05037818337193278,0.7354353692928094,0.04142831868979879,0.8160436230996384,0.04204035324967792,0.5934391221275187,0.05037818337193278,0.8160436230996384,0.04204035324967792,0.8052700176639056,0.01886908130541398,0.8430519113031847,0.019381205947419766,2.5411527364468514,0.21859467080812056,1.717750154042697,0.4826038268547679,1.7504715829050763,0.4011219079422512,0.12426900584795321,0.044689252456654824,42.5,15.25,106.88728438825557,28.138290845736037
cervical,custom_alsalam,0.15194618080727454,0.10000510609305219,0.36633663366336633,0.29455445544554454,42.835731488582354,376.7524473553447,0.3069306930693069,0.19554455445544555,20.511249159122208,21.612366286761958,0.12906624180483844,0.2482180452895585,0.2802069610311405,0.46378426727453104,0.38170558392053106,0.49242392364613585,0.12906624180483844,0.2482180452895585,0.38170558392053106,0.49242392364613585,0.29722222222222217,0.08333333333333337,0.41666666666666674,0.10972222222222228,0.9900240825437141,0.04638781340768239,1.0000011219154965,0.031875850188561095,0.9085426324836297,0.6975220788946032,0.9444444444444444,0.29861111111111116,34.0,10.75,35.999864576237066,0.011822379370912017
cervical,custom_gegen,0.2105755004133833,0.0811535476887279,0.01485148514851485,0.027227722772277224,0.4376556390107362,2.0537958268733028,0.009900990099009901,0.04950495049504951,10.619615631067756,4.201028840392059,0.20944138056457218,0.06249381536777085,0.45780981231272155,0.09554813659063077,0.568251582995812,0.09816665224344667,0.20944138056457218,0.06249381536777085,0.568251582995812,0.09816665224344667,0.5472222222222223,0.17638888888888898,0.6166666666666667,0.19305555555555554,1.0037514214328564,0.05333067082686882,1.1771318271682008,0.24471461642707326,1.0567964052922805,0.2695707284900706,0.6111111111111112,0.1527777777777778,22.0,5.5,35.99419480980819,0.06226857618032966
cervical,custom_hermite,0.038614272513202985,0.05772816563605906,0.39603960396039606,0.4207920792079208,3.641471470218446e-05,1.9234417177443238e-05,0.3613861386138614,0.48267326732673266,2.34670921044379,2.562246396786933,0.6144091730263459,0.2217655145093973,0.871958637840887,0.22469167902812182,0.9250130563690617,0.14000288637915603,0.6144091730263459,0.2217655145093973,0.9250130563690617,0.14000288637915603,0.4166666666666667,0.018055555555555547,0.4111111111111111,0.040277777777777746,1.0020385181170042,0.1328843129472257,0.9974164598265729,0.019211896245051818,0.006161296535760946,0.07381457140471032,0.6388888888888888,0.11111111111111105,23.0,4.0,10.51458315156708,2.4788136963536758
cervical,linear,0.34861524822863954,0.08043590513891791,0.009900990099009901,0.0,0.5682633630155309,0.16911997742341106,0.009900990099009901,0.0,4.928137926509885,0.745610319481866,0.3356360767706217,0.03063175873653262,0.696639909009017,0.04628386638945292,0.802395612494432,0.037758284284923116,0.3356360767706217,0.03063175873653262,0.802395612494432,0.037758284284923116,1.0,0.0,1.0,0.0,1.1637183494112544,0.048268393968786016,2.0430719131556128,0.5597146429628133,2.0121134903688827,0.70966578822825,0.3333333333333333,0.09722222222222221,12.0,3.5,18.99242459063133,0.0017408933086144884
cervical,poly,0.3185454274033243,0.1206325697299983,0.009900990099009901,0.0,0.08253702301475964,0.3246926022333746,0.009900990099009901,0.0,6.32261232056867,3.644362096041343,0.28825653209917246,0.09261456766570372,0.6062413120050035,0.13774895427587874,0.7169724462082455,0.1598591718854696,0.28825653209917246,0.09261456766570372,0.7169724462082455,0.1598591718854696,0.9333333333333332,0.2305555555555555,0.9319444444444444,0.1840277777777778,1.1315257921046948,0.08321170420099366,1.5721977796834752,0.5326961758223607,1.5002916317362716,0.5547415150808506,0.4305555555555556,0.18055555555555558,15.5,6.5,35.66363607680988,12.210801557300545
cervical,rbf,0.3333644981148538,0.12068047261037773,0.009900990099009901,0.0,0.023270371462366334,0.011322525647380299,0.009900990099009901,0.0,10.134603922948486,8.167345955948118,0.204058383236205,0.10258320904641632,0.467414152539066,0.16544271393265508,0.5755821159689063,0.18190961077551987,0.204058383236205,0.10258320904641632,0.5755821159689063,0.18190961077551987,1.0,0.0,1.0,0.0,1.1066931654938892,0.06275034043233951,1.1472089836715837,0.24379842164602206,1.0312130792859637,0.18319151554562263,0.5833333333333334,0.3125000000000001,21.0,11.25,35.79178314171973,0.28470060115053997
